field,topic,system,status,original_survey_title,best_ref_title,manual_same_paper,manual_notes
Education,Large Language Models in Education,Gemini,confirmed,What Is the Impact of ChatGPT on Education? A Rapid Review of the Literature,What Is the Impact of ChatGPT on Education? A Rapid Review of the Literature,1,
Education,Predicting Academic Success in Higher Education,Gemini,confirmed,Predicting academic success in higher education- literature review and best practices,Predicting academic success in higher education: literature review and best practices,1,
Education,Education 4.0 and 21st Century Skills in Education,Gemini,confirmed,Components of Education 4.0 in 21st Century Skills Frameworks Systematic Review,Components of Education 4.0 in 21st Century Skills Frameworks: Systematic Review,1,
Education,Education 4.0 and 21st Century Skills in Education,Qwen,candidate,Components of Education 4.0 in 21st Century Skills Frameworks Systematic Review,Components of Education 4.0 in 21st Century Skills ...,0,
Education,Education 4.0 and 21st Century Skills in Education,SciSage,candidate,Components of Education 4.0 in 21st Century Skills Frameworks Systematic Review,"Components of Education 4.0 in 21st Century Skills Frameworks: Systematic Review. Laura Icela González-Pérez, María Soledad",1,
Education,Digital Competence in Education,Gemini,confirmed,Digital competence in higher education research- A systematic literature review,Digital competence in higher education research: A systematic literature review,1,
Education,Digital Competence in Education,Qwen,candidate,Digital competence in higher education research- A systematic literature review,digital competence in higher education research: a systematic,0,
Education,Gamification in Health Professions Education,Gemini,candidate,Gamifcation of health professions education- a systematic review,Gamification of health professions education: a systematic review,1,
Education,Gamification in Health Professions Education,Qwen,candidate,Gamifcation of health professions education- a systematic review,gamification of health professions education: a systematic,0,
Education,Generative Artificial Intelligence in Education,Gemini,candidate,Transforming Education- A Comprehensive Review of Generative Artificial Intelligence in Educational Settings through Bibliometric and Content Analysi,Transforming Education: A Comprehensive Review of Generative Artificial Intelligence in Educational Settings through Bibliometric and Content Analysis,1,
Education,Gamification in Science Education,Gemini,confirmed,Gamification in Science Education. A Systematic Review of the Literature,Gamification in Science Education. A Systematic Review of the Literature,1,
Education,Impact of COVID-19 on Education in Developing Countries,Gemini,confirmed,The Impact of COVID-19 Pandemic on Education System in Developing Countries- A Review,The Impact of COVID-19 Pandemic on Education System in Developing Countries: A Review,1,
Education,Impact of COVID-19 on Education in Developing Countries,LLMxMapReduce_V2,confirmed,The Impact of COVID-19 Pandemic on Education System in Developing Countries- A Review,the impact of covid-19 pandemic on education system in developing countries: a review,1,
Education,Impact of COVID-19 on Education in Developing Countries,Qwen,candidate,The Impact of COVID-19 Pandemic on Education System in Developing Countries- A Review,the impact of covid-19 pandemic on education system in,0,
Education,Immersive Virtual Reality in Education,Gemini,confirmed,Immersive virtual reality as a pedagogical tool in education- a systematic literature review of quantitative learning outcomes and experimental design,Immersive virtual reality as a pedagogical tool in education: a systematic literature review of quantitative learning outcomes and experimental design,1,
Education,Large Language Models in Education: Practical and Ethical Challenges,Autosurvey,confirmed,Practical and Ethical Challenges of Large Language Models in Education- A Systematic Scoping Review,practical and ethical challenges of large language models in education a systematic scoping review,1,
Education,Large Language Models in Education: Practical and Ethical Challenges,Gemini,confirmed,Practical and Ethical Challenges of Large Language Models in Education- A Systematic Scoping Review,Practical and ethical challenges of large language models in education: A systematic scoping review,1,
Education,Large Language Models in Education: Practical and Ethical Challenges,Qwen,candidate,Practical and Ethical Challenges of Large Language Models in Education- A Systematic Scoping Review,practical and ethical challenges of large language models in,0,
Education,Large Language Models in Education: Practical and Ethical Challenges,SurveyForge,confirmed,Practical and Ethical Challenges of Large Language Models in Education- A Systematic Scoping Review,practical and ethical challenges of large language models in education a systematic scoping review,1,
Medicine,Wearable Health Devices in Health Care,Gemini,confirmed,Wearable Health Devices in Health Care- Narrative Systematic Review,Wearable Health Devices in Health Care: Narrative Systematic Review,1,
Medicine,Wearable Health Devices in Health Care,LLMxMapReduce_V2,candidate,Wearable Health Devices in Health Care- Narrative Systematic Review,wearable health devices in health care,0,
Medicine,Nanoparticle Classification and Applications in Medicine,Gemini,confirmed,"Nanoparticle classification, physicochemical properties, characterization, and applications- a comprehensive review for biologists","Nanoparticle classification, physicochemical properties, characterization, and applications: a comprehensive review for biologists",1,
Medicine,PRISMA-DTA in Diagnostic Test Accuracy Studies,Gemini,confirmed,"Preferred reporting items for systematic review and meta-analysis of diagnostic test accuracy studies (PRISMA-DTA)- explanation, elaboration, and checklist","Preferred reporting items for systematic review and meta-analysis of diagnostic test accuracy studies (PRISMA-DTA): explanation, elaboration, and checklist",1,
Medicine,PRISMA-DTA in Diagnostic Test Accuracy Studies,SciSage,confirmed,"Preferred reporting items for systematic review and meta-analysis of diagnostic test accuracy studies (PRISMA-DTA)- explanation, elaboration, and checklist","preferred reporting items for systematic review and meta-analysis of diagnostic test accuracy studies (prisma-dta): explanation, elaboration, and checklist",1,
Medicine,Analytical Methods for Determining Antioxidant Activity in Medicine,Gemini,confirmed,Analytical Methods Used in Determining Antioxidant Activity- A Review,Analytical Methods Used in Determining Antioxidant Activity: A Review,1,
Medicine,Analytical Methods for Determining Antioxidant Activity in Medicine,Qwen,candidate,Analytical Methods Used in Determining Antioxidant Activity- A Review,analytical methods used in determining antioxidant activity,0,
Medicine,Traditional Chinese Medicine in Treating SARS-CoV-2 Infections,LLMxMapReduce_V2,confirmed,Traditional Chinese Medicine in the Treatment of Patients Infected with 2019-New Coronavirus (SARS-CoV-2)- A Review and Perspective,traditional chinese medicine in the treatment of patients infected with 2019-new coronavirus (sars-cov-2): a review and perspective,1,
Medicine,Feature Selection Methods for Disease Risk Prediction in Medicine,Gemini,confirmed,A Review of Feature Selection Methods for Machine Learning-Based Disease Risk Prediction,A Review of Feature Selection Methods for Machine Learning-Based Disease Risk Prediction,1,
Medicine,Feature Selection Methods for Disease Risk Prediction in Medicine,LLMxMapReduce_V2,confirmed,A Review of Feature Selection Methods for Machine Learning-Based Disease Risk Prediction,a review of feature selection methods for machine learning-based disease risk prediction,1,
Medicine,Social Determinants of Health in Diabetes Research,Gemini,candidate,Social Determinants of Health and Diabetes- A Scientific Review,Social Determinants of Health and Diabetes,0,
Medicine,Social Determinants of Health in Diabetes Research,Qwen,confirmed,Social Determinants of Health and Diabetes- A Scientific Review,social determinants of health and diabetes: a scientific review,1,
Medicine,Cardiomyocyte Maturation in Regenerative Medicine,Gemini,confirmed,Cardiomyocyte maturation- advances in knowledge and implications for regenerative medicine,Cardiomyocyte maturation: advances in knowledge and implications for regenerative medicine.,1,
Medicine,Cardiomyocyte Maturation in Regenerative Medicine,LLMxMapReduce_V2,confirmed,Cardiomyocyte maturation- advances in knowledge and implications for regenerative medicine,cardiomyocyte maturation: advances in knowledge and implications for regenerative medicine,1,
Medicine,Precision Cancer Medicine,Gemini,confirmed,Review of precision cancer medicine- Evolution of the treatment paradigm.,Review of precision cancer medicine: Evolution of the treatment paradigm,1,
Biology,Endosymbiosis of Wolbachia in Biology,Gemini,confirmed,Living in the endosymbiotic world of Wolbachia- A centennial review.,Living in the endosymbiotic world of Wolbachia: A centennial review,1,
Biology,Lineage Tracing Combined with Single-Cell Omics in Biology,Gemini,confirmed,Lineage tracing meets single-cell omics- opportunities and challenges,Lineage tracing meets single-cell omics: opportunities and challenges,1,
Biology,PRISMA Extension for Ecology and Evolutionary Biology,Gemini,candidate,Preferred reporting items for systematic reviews and meta‐analyses in ecology and evolutionary biology- a PRISMA extension,Preferred reporting items for systematic reviews and meta-analyses in ecology and evolutionary biology: a PRISMA extension,1,
Biology,PRISMA Extension for Ecology and Evolutionary Biology,LLMxMapReduce_V2,confirmed,Preferred reporting items for systematic reviews and meta‐analyses in ecology and evolutionary biology- a PRISMA extension,preferred reporting items for systematic reviews and meta‐analyses in ecology and evolutionary biology: a prisma extension,1,
Biology,PRISMA Extension for Ecology and Evolutionary Biology,SciSage,confirmed,Preferred reporting items for systematic reviews and meta‐analyses in ecology and evolutionary biology- a PRISMA extension,preferred reporting items for systematic reviews and meta‐analyses in ecology and evolutionary biology: a <scp>prisma</scp> extension,1,
Biology,Organoids as Host Models for Infection Biology,Gemini,confirmed,Organoids as host models for infection biology �?a review of methods,Organoids as host models for infection biology �?a review of methods,1,
Biology,Organoids as Host Models for Infection Biology,LLMxMapReduce_V2,candidate,Organoids as host models for infection biology �?a review of methods,organoids as host models for infection biology,0,
Biology,Organoids as Host Models for Infection Biology,Qwen,candidate,Organoids as host models for infection biology �?a review of methods,organoids as host models for infection biology �?a review,1,
Biology,Temporal Framework for Understanding Nonsuicidal Self-Injury in Biology,Gemini,confirmed,Advancing a temporal framework for understanding the biology of nonsuicidal self-injury- An expert review,Advancing a Temporal Framework for Understanding the Biology of Nonsuicidal Self-Injury: An Expert Review,1,
Biology,Temporal Framework for Understanding Nonsuicidal Self-Injury in Biology,LLMxMapReduce_V2,confirmed,Advancing a temporal framework for understanding the biology of nonsuicidal self-injury- An expert review,advancing a temporal framework for understanding the biology of nonsuicidal self-injury: an expert review,1,
Biology,Stingless Bee Classification and Biology,Gemini,confirmed,"Stingless bee classification and biology (Hymenoptera, Apidae)- a review, with an updated key to genera and subgenera","Stingless bee classification and biology (Hymenoptera, Apidae): a review, with an updated key to genera and subgenera",1,
Biology,Human Lice Research,Gemini,confirmed,Where Are We With Human Lice? A Review of the Current State of Knowledge,Where Are We With Human Lice? A Review of the Current State of Knowledge,1,
Biology,Acoustofluidic Separation Technology in Biology,Gemini,confirmed,Recent advances in acoustofluidic separation technology in biology,Recent advances in acoustofluidic separation technology in biology,1,
Biology,Acoustofluidic Separation Technology in Biology,LLMxMapReduce_V2,candidate,Recent advances in acoustofluidic separation technology in biology,acoustofluidic separation technology in biology,0,
Biology,Acoustofluidic Separation Technology in Biology,Qwen,candidate,Recent advances in acoustofluidic separation technology in biology,recent advances in acoustofluidic separation technology in,0,
Biology,Luciferase Systems for In Vivo Imaging in Biology,Gemini,confirmed,Brightening up Biology- Advances in Luciferase Systems for in Vivo Imaging,Brightening up Biology: Advances in Luciferase Systems for in Vivo Imaging,1,
Sociology,Behavior-Based Insurance from a Sociological Perspective,Gemini,confirmed,Contested technology- Social scientific perspectives of behaviour-based insurance,Contested technology: Social scientific perspectives of behaviour-based insurance,1,
Sociology,Behavior-Based Insurance from a Sociological Perspective,Qwen,candidate,Contested technology- Social scientific perspectives of behaviour-based insurance,social scientific perspectives of behaviour-based insurance,0,
Sociology,Residential Property Investor Types in Sociology,Gemini,confirmed,One and the Same? A Systematic Literature Review of Residential Property Investor Types,One and the Same? A Systematic Literature Review of Residential Property Investor Types.,1,
